000021;26;5844
000021;26;588
000029;27;321
000030;32;3
000030;32;533
000030;32;836
000030;32;837
000031;31;548
000041;25;1172
000041;25;572
000057;45;34
000057;45;740
000061;24;5612
000066;34;45
000066;34;740
000070;36;843
000082;74;101
000082;74;32
000082;74;534
000082;74;836
000093;3;32
000093;3;836
000093;3;837
000094;21;3480
000094;21;739
000111;19;1171
000111;19;576
000141;26;5844
000141;26;588
000155;32;533
000155;32;836
000155;32;838
000156;32;3
000156;32;534
000156;32;74
000156;32;837
000163;31;548
000166;27;32
000166;27;321
000179;25;1075
000179;25;1172
000179;25;572
000188;45;740
000203;34;45
000203;34;740
000209;36;596
000212;74;101
000212;74;534
000212;74;836
000217;21;3480
000217;21;739
000218;3;32
000218;3;533
000218;3;534
000218;3;836
000218;3;837
000218;3;838
000240;19;1171
000240;19;576
000259;61;321
000274;26;5844
000274;26;588
000284;32;3
000284;32;533
000284;32;534
000284;32;74
000284;32;836
000284;32;837
000288;31;548
000295;27;836
000304;25;1075
000304;25;1172
000304;25;572
000328;45;34
000328;45;740
000334;74;101
000334;74;534
000334;74;836
000336;36;328
000336;36;596
000340;34;45
000340;34;740
000343;3;32
000343;3;534
000343;3;836
000350;21;3480
000350;21;739
000371;19;1171
000371;19;576
000386;61;321
000409;32;321
000409;32;533
000409;32;534
000409;32;721
000409;32;836
000409;32;837
000414;26;5844
000414;26;588
000432;27;836
000440;25;1075
000440;25;1172
000440;25;572
000440;37;7588
000440;37;7589
000448;45;34
000448;45;740
000459;74;101
000459;74;321
000459;74;61
000459;74;836
000459;74;838
000464;36;328
000464;36;596
000472;34;45
000472;34;740
000481;21;3480
000481;21;739
000481;3;721
000482;3;32
000482;3;533
000482;3;534
000482;3;836
000495;19;1171
000495;19;576
000525;61;101
000525;61;32
000525;61;321
000525;61;534
000525;61;74
000532;32;3
000532;32;533
000532;32;534
000532;32;61
000532;32;74
000532;32;836
000532;32;837
000541;26;5844
000541;26;588
000561;25;1075
000561;25;1172
000561;25;572
000561;27;836
000565;31;548
000567;24;5612
000572;37;7588
000572;37;7589
000581;74;101
000581;74;321
000581;74;534
000581;74;568
000581;74;61
000581;74;836
000586;45;34
000586;45;740
000589;36;328
000589;36;596
000605;21;3480
000605;21;739
000609;54;55
000613;3;533
000613;3;534
000613;3;721
000613;3;836
000628;19;1171
000628;19;576
000658;32;3
000658;32;321
000658;32;533
000658;32;836
000663;26;5844
000663;26;588
000690;27;74
000690;27;836
000693;24;5612
000696;31;548
000697;37;7588
000697;37;7589
000701;25;1075
000701;25;1172
000701;25;572
000703;61;101
000703;61;3
000703;61;321
000703;61;328
000703;61;534
000703;61;74
000703;61;836
000703;74;101
000703;74;3
000703;74;320
000703;74;321
000703;74;328
000703;74;533
000703;74;534
000703;74;61
000703;74;836
000703;74;838
000713;36;328
000713;36;596
000715;45;34
000715;45;740
000733;21;3480
000733;21;739
000752;19;1171
000752;19;576
000753;3;32
000753;3;328
000753;3;533
000753;3;61
000753;3;836
