1,216020
2,216146
3,216001
4,216205
5,216146
6,216146
7,216001
8,216337
9,216205
10,216123
11,216146
12,216359
13,216147
14,216001
15,216001
16,216359
17,216337
18,214536
19,216001
20,214536
21,216020
22,216205
23,216282
24,216712
25,217127
26,216712
27,216468
28,216359
29,216421
30,216359
31,214139
32,216337
33,216091
34,216764
35,216764
36,216282
37,216755
38,216205
39,216712
40,216875
41,216282
42,216921
43,216764
44,216921
45,217208
46,216764
47,217698
48,217185
49,216496
50,220466
51,217185
52,220210
53,220466
54,220786
55,223581
56,222569
57,220210
58,220738
59,221137
60,224166
61,224367
62,224414
63,227867
64,226559
65,266544
66,231524
67,227867
68,230825
69,308072
70,278957
