8,46.6437163596,24.400680675
9,47.3560327594,24.3234281518
5,46.1380344361,23.5021068013
3,45.1029186112,24.6165916455
4,46.7527159475,22.3697011941
6,46.1275552976,23.4338221855
10,47.4326110789,23.7389340848
1,45.6853101995,25.3382275637
2,44.5412620978,25.3079858567
7,44.7140182943,24.4111403053
11,48.2862799036,24.2613372288
0,7.50609402206,4.77255625904
13,48.504917355,24.200319337
20,50.5758871278,23.7513978189
19,47.4565325791,24.0375586518
23,50.301546847,23.6863614272
22,48.8773733521,24.6268556135
21,49.5518153092,23.5347200939
12,49.0802540788,23.9768340853
14,49.7057780357,22.7150398876
16,49.2912171348,23.2417770372
18,48.7848740732,24.1369989822
17,48.2733604179,24.0120931316
15,47.4299124379,24.5284878156
24,50.268529342,22.9969867751
27,50.6674405107,24.5080668343
31,49.960887229,24.0317751481
25,47.5350069074,24.3554507218
35,49.0747035901,24.1922876476
28,49.1382923841,25.1099660116
26,48.842550369,23.4324081071
32,49.6434789818,23.9819426967
30,51.2188044109,23.5744948927
34,49.9987738386,23.4247415984
33,47.3715187235,24.5929229869
29,49.0129400898,24.7467124538
39,51.125859009,24.3009675605
36,49.6278720426,24.8758212135
41,50.7683766938,23.4512698195
47,50.2466627974,23.201731143
46,50.020607804,23.981665904
38,52.0351257917,23.0996734165
43,50.7097255617,24.8054888845
42,52.2540933354,22.6338259371
45,49.6294800945,25.2499247131
40,48.6506094022,25.2366630148
37,50.9332391262,24.0208426344
44,48.8214999678,26.1803720166
51,49.8758625137,23.8314750678
57,48.4926162378,23.773320737
52,50.7647159801,22.1099450327
58,45.8756018409,26.5460466304
50,49.6558006062,24.9435402004
48,49.4999453262,24.7841410653
49,50.4369221714,23.8337395469
56,47.8485522667,25.3632795481
53,50.1318298649,24.238093876
55,50.6176933919,24.1247805097
59,45.8014753505,25.7920576362
54,51.1587225033,23.0210162712
66,43.4521506417,27.1637522653
62,47.4965871842,25.2489021845
60,48.2486328301,24.2402084984
65,46.2851397415,24.9531991509
67,49.0955697427,25.0650619984
64,48.4176500935,25.7048991988
63,46.8538402012,25.8142493231
69,44.9440897659,27.4784743495
70,50.9286128845,27.2772222731
61,46.6979474058,25.4991024102
71,55.5936186176,25.7515403817
68,49.3672212549,24.3571563479
73,56.7596675662,29.0116287685
83,49.0824143935,30.0353929251
74,58.956471271,28.1984006961
77,54.6842716193,29.311138467
81,54.1276842716,28.6036178058
75,54.7405687754,30.5336808927
80,51.8119558909,30.0300927187
76,59.2344747533,27.0371579333
82,49.2141613465,29.3392237437
72,54.7798689993,28.4177599675
79,52.4643064423,30.326735527
78,55.2396982008,29.1768975263
85,48.505513639,28.2458656762
87,44.5780615206,28.8370521836
84,48.3168891468,29.4217556652
86,49.4457341846,27.4965221287
89,45.3052814858,28.2737818909
93,39.6947185142,26.9088151928
88,42.5728380731,29.1796934238
90,43.505513639,28.3335813918
91,41.2257690075,27.693335889
95,36.3882762623,26.1414274445
92,40.7771329077,27.0411446329
94,38.1996517702,26.3371644084
98,29.6546720836,24.0582607224
97,31.9373186303,24.7080130106
96,34.1659895531,25.7881032811
100,23.0922809054,21.7193549373
99,27.2669762043,22.9488239707
105,23.0922809054,21.7193549373
106,23.0922809054,21.7193549373
101,23.0922809054,21.7193549373
102,23.0922809054,21.7193549373
104,23.0922809054,21.7193549373
107,23.0922809054,21.7193549373
103,23.0922809054,21.7193549373
