7,44.9122366708,26.2501971096
11,46.2424118837,25.6414988988
6,46.0494737337,25.6580959462
4,42.0291446409,26.2376637701
9,46.3977035654,25.4103488079
10,45.39693495,26.581286395
2,42.9985411994,25.8160832626
8,44.9592947562,26.4852263478
1,41.6777776035,25.4589426947
3,44.1498956879,25.3932795753
5,44.4479302285,26.2672200999
0,6.28990133488,5.05484464916
20,44.3412652351,26.7307247054
16,41.6542485608,26.959185339
12,47.7027811328,24.8858768759
18,45.810550753,25.9361344583
22,44.4558145218,26.7456198718
21,45.8094774984,25.6304633336
13,41.6762090006,27.3085386979
14,45.2897333293,26.3133132399
15,44.5294975765,27.4919045723
17,44.0266365275,26.3237790985
19,45.7043811077,26.1533969508
23,48.309830434,24.6805991517
31,48.7255101881,24.9468885313
24,47.3012188044,25.9198970935
35,43.8571035831,26.7616191936
26,43.905193644,27.576743796
30,45.3169362049,26.5817042332
32,44.8353751314,26.7344967583
28,45.0471365155,27.3762264775
25,47.719705532,25.3926606533
27,46.8839704475,25.6265948327
29,45.2541920911,26.6148699471
34,48.2517921287,25.138079772
33,48.6392370316,24.7877648585
36,44.676946244,26.6026880363
46,45.9977098398,26.4164807571
37,48.6988439397,25.470528154
42,47.8709105905,24.6995380874
47,45.3218071295,26.7927386921
39,48.6470800458,24.8254511947
45,47.0000470581,25.1674243889
44,46.0949632163,26.2819065509
43,44.1310724538,26.3881085468
38,43.854998353,27.043131498
40,46.8557355963,26.1331522921
41,47.3184734357,25.3158366857
48,49.0800144312,24.7650799653
49,46.7145613402,25.7337845324
50,44.3130303838,27.3628817651
58,46.0275132939,25.0138888457
53,44.1091120139,25.6730522634
57,43.2996303876,26.0713840197
51,46.2916577573,24.8701401794
54,45.5447964077,25.9356100978
59,45.40791517,25.9803486712
52,46.4510360622,24.7894332196
55,45.0581167354,25.6502699073
56,40.7184531264,26.3183098362
68,44.6969358751,25.2750815679
70,44.0436329003,25.6904313914
63,46.9728441824,24.8715470787
64,46.4886825305,24.0841636068
61,47.2572979247,25.1799248536
65,44.0965631912,25.1568714804
71,39.800883968,25.5186904705
69,36.0677520848,26.9698876946
60,44.504399931,25.314897981
62,41.7169926746,25.3839323035
66,44.920079685,24.9595516947
67,42.3820802811,26.8443840504
74,45.2626233314,27.8099585951
75,39.0147997678,30.5830438636
83,39.0452698781,27.8162337977
72,42.7876244475,27.3248797544
82,39.0467208357,26.9234515098
78,39.4994196169,28.6494290879
76,43.3705745792,27.5386834969
77,42.7872896111,28.0280685826
73,45.5266976204,28.090839202
80,41.1360998259,27.7491130724
79,42.7481137551,25.7705563303
81,38.6360998259,26.1437126401
92,29.8012188044,25.2068684833
84,34.9622751016,27.6837569352
93,25.8937899013,25.5496839969
89,31.3116656994,25.2104796718
86,33.3937899013,27.386183801
91,30.3946604759,24.435247285
87,33.6099825885,27.3203718829
94,25.0957632037,23.9478904011
95,24.7489843297,24.0129302206
88,32.2736506094,25.8041476988
85,39.6662797446,25.586863231
90,32.4071387115,23.9814168127
107,17.2852582705,18.9736304877
104,17.2852582705,18.9736304877
97,23.9843296576,21.3018795646
98,20.9924550203,20.9759709327
96,23.4329657574,22.5731732761
105,17.2852582705,18.9736304877
100,17.2852582705,18.9736304877
102,17.2852582705,18.9736304877
101,17.2852582705,18.9736304877
106,17.2852582705,18.9736304877
103,17.2852582705,18.9736304877
99,19.7983168891,20.611812785
