1,0.116076610563
2,12.0719674985
3,16.0185722577
4,19.8491004063
5,23.1572838073
6,26.6395821242
7,30.0638421358
8,33.1398723157
9,35.9837492745
10,38.6535113175
11,41.3232733604
12,43.9349970981
13,46.5467208358
14,48.9262913523
15,51.3639001741
16,53.8015089959
17,55.6587347649
18,57.515960534
19,59.373186303
20,61.1723737667
21,63.087637841
22,65.1189785258
23,67.0342426001
24,68.659315148
25,69.9941961695
26,71.2710388857
27,72.6639582124
28,73.8827626233
29,74.9274521184
30,76.0301799187
31,77.1329077191
32,78.0615206036
33,78.9901334881
34,79.7446314568
35,80.7893209518
36,81.8340104469
37,82.6465467208
38,83.6331979106
39,84.5618107951
40,85.4323853743
41,86.0708067324
42,86.7092280905
43,87.2315728381
44,87.8699941962
45,88.2762623331
46,88.7986070807
47,89.3209518282
48,89.901334881
